iso,country,epi,air,water,altepi,score,property,integrity,judicial,tax,spending,fiscal,business,labor,monetary,trade,investment,financial,gdppercapita,pppgdppercapita
SDN,Sudan,38.6,35.3,39.2,37.25,33.9,12.5,19.5,4.8,85,95.1,66.5,27.7,41.8,0,29.6,5,20,2272.48559570313,3137.16186523438
SUR,Suriname,56.6,68.3,43.4,55.85,46.7,41.9,38.1,45.4,70.8,69.8,0,53.3,63.4,44.1,64.2,40,30,6069.02890083889,21047.1825568358
SWE,Sweden,70.5,81.2,97,89.1,77.5,96.2,93.2,95.4,50.6,28.5,97.1,84.9,65.9,74.4,79.2,85,80,56305.250200767,70206.6116365115
CHE,Switzerland,68,67.5,98,82.75,83,94.2,91.3,98.1,70.4,64.6,95.7,89.3,60.7,80.8,86.4,85,80,99994.9380204786,92980.401876095
TWN,Taiwan,50.3,40.1,70.9,55.5,80,82.2,73.4,94,79.2,90.5,90.3,84.9,69.1,80.1,86.4,70,60,NA,NA
TJK,Tajikistan,31.9,17.4,31.2,24.3,51.3,29.4,17.3,12.4,92.6,76.1,93,56.2,43.7,67.8,72.2,25,30,1188.99303811773,5082.17180293729
TZA,Tanzania,43.1,23.9,20.6,22.25,59.1,45.4,36.8,28.8,80.6,90.7,79.9,47.4,62.2,72.2,60.6,55,50,1211.05859375,3972.60766601563
THA,Thailand,45.4,25.5,51.2,38.35,59,45,38.1,35.2,81.1,80.3,46.8,70.3,56.3,66.7,72.8,55,60,7171.80809318978,23422.9241932571
TLS,Timor-Leste,49.7,38.3,33.1,35.7,50.2,39.9,44.3,36.2,97.9,29.5,19.9,63.8,56.4,70,80,45,20,1648.64729020342,5108.70503805702
TGO,Togo,35.2,26.8,17.8,22.3,50.9,36.6,27.5,37,69.6,83,19.9,51.2,51.9,69.1,65,60,40,1012.9738726321,3155.32000038484
TON,Tonga,40.2,60.3,50.2,55.25,59.2,63,44.9,68.8,85.4,40.1,95.9,59.7,56.4,64.4,71.8,40,20,NA,NA
